index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
690,4.9,4.9,1.8,1.8,1.8,1.8,4.9,4.9,4.9,4.9
691,1.6,1.6,0.7,0.7,0.7,0.7,1.6,1.6,1.6,1.6
692,2.8,2.8,0.8,0.8,0.8,0.8,2.8,2.8,2.8,2.8
693,9.8,9.8,1.6,1.6,1.6,1.6,9.8,9.8,9.8,9.8
694,9.2,9.2,1.3,1.3,1.3,1.3,9.2,9.2,9.2,9.2
695,6.1,6.1,1.2,1.2,1.2,1.2,6.1,6.1,6.1,6.1
696,2.9,2.9,0.5,0.5,0.5,0.5,2.9,2.9,2.9,2.9
697,2.4,2.4,0.8,0.8,0.8,0.8,2.4,2.4,2.4,2.4
698,5.2,5.2,1.8,1.8,1.8,1.8,5.2,5.2,5.2,5.2
699,7.3,7.3,1.8,1.8,1.8,1.8,7.3,7.3,7.3,7.3
700,,13.1,2.0,2.0,2.0,2.0,,13.1,13.1,13.1
701,,10.2,1.4,1.4,1.4,1.4,,10.2,10.2,10.2
702,7.5,7.5,0.8,0.8,0.8,0.8,7.5,7.5,7.5,7.5
703,6.9,6.9,1.2,1.2,1.2,1.2,6.9,6.9,6.9,6.9
704,8.3,8.3,1.5,1.5,1.5,1.5,8.3,8.3,8.3,8.3
705,7.8,7.8,2.5,2.5,2.5,2.5,7.8,7.8,7.8,7.8
706,8.6,8.6,2.4,2.4,2.4,2.4,8.6,8.6,8.6,8.6
707,6.5,6.5,1.8,1.8,1.8,1.8,6.5,6.5,6.5,6.5
708,4.3,4.3,0.8,0.8,0.8,0.8,4.3,4.3,4.3,4.3
709,2.4,2.4,0.6,0.6,0.6,0.6,2.4,2.4,2.4,2.4
710,3.7,3.7,1.3,1.3,1.3,1.3,3.7,3.7,3.7,3.7
725,,,2.7,2.7,2.7,2.7,,,,23.2
726,,11.8,2.1,2.1,2.1,2.1,,11.8,11.8,11.8
727,9.3,9.3,1.8,1.8,1.8,1.8,9.3,9.3,9.3,9.3
728,8.4,8.4,2.0,2.0,2.0,2.0,8.4,8.4,8.4,8.4
729,5.1,5.1,1.6,1.6,1.6,1.6,5.1,5.1,5.1,5.1
730,5.5,5.5,1.7,1.7,1.7,1.7,5.5,5.5,5.5,5.5
731,8.0,8.0,2.3,2.3,2.3,2.3,8.0,8.0,8.0,8.0
732,,10.4,2.6,2.6,2.6,2.6,,10.4,10.4,10.4
733,7.0,7.0,1.4,1.4,1.4,1.4,7.0,7.0,7.0,7.0
734,5.7,5.7,1.8,1.8,1.8,1.8,5.7,5.7,5.7,5.7
735,5.8,5.8,2.6,2.6,2.6,2.6,5.8,5.8,5.8,5.8
736,8.6,8.6,1.9,1.9,1.9,1.9,8.6,8.6,8.6,8.6
737,6.3,6.3,1.8,1.8,1.8,1.8,6.3,6.3,6.3,6.3
738,5.8,5.8,1.2,1.2,1.2,1.2,5.8,5.8,5.8,5.8
739,7.7,7.7,1.8,1.8,1.8,1.8,7.7,7.7,7.7,7.7
740,6.8,6.8,2.9,2.9,2.9,2.9,6.8,6.8,6.8,6.8
741,8.4,8.4,1.8,1.8,1.8,1.8,8.4,8.4,8.4,8.4
742,3.1,3.1,1.1,1.1,1.1,1.1,3.1,3.1,3.1,3.1
743,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0
744,7.2,7.2,2.7,2.7,2.7,2.7,7.2,7.2,7.2,7.2
745,7.8,7.8,1.9,1.9,1.9,1.9,7.8,7.8,7.8,7.8
746,4.0,4.0,1.4,1.4,1.4,1.4,4.0,4.0,4.0,4.0
747,1.1,1.1,0.3,0.3,0.3,0.3,1.1,1.1,1.1,1.1
748,5.0,5.0,1.1,1.1,1.1,1.1,5.0,5.0,5.0,5.0
749,8.4,8.4,1.4,1.4,1.4,1.4,8.4,8.4,8.4,8.4
750,9.9,9.9,2.4,2.4,2.4,2.4,9.9,9.9,9.9,9.9
763,,,3.3,3.3,3.3,3.3,,,,25.4
764,,13.4,2.6,2.6,2.6,2.6,,13.4,13.4,13.4
765,,14.3,2.3,2.3,2.3,2.3,,14.3,14.3,14.3
766,,11.6,2.3,2.3,2.3,2.3,,11.6,11.6,11.6
767,8.9,8.9,1.6,1.6,1.6,1.6,8.9,8.9,8.9,8.9
768,7.2,7.2,1.1,1.1,1.1,1.1,7.2,7.2,7.2,7.2
769,9.9,9.9,1.7,1.7,1.7,1.7,9.9,9.9,9.9,9.9
770,,12.5,2.4,2.4,2.4,2.4,,12.5,12.5,12.5
771,,12.8,2.4,2.4,2.4,2.4,,12.8,12.8,12.8
772,9.9,9.9,1.9,1.9,1.9,1.9,9.9,9.9,9.9,9.9
773,9.8,9.8,1.9,1.9,1.9,1.9,9.8,9.8,9.8,9.8
774,6.3,6.3,1.5,1.5,1.5,1.5,6.3,6.3,6.3,6.3
775,2.3,2.3,0.4,0.4,0.4,0.4,2.3,2.3,2.3,2.3
776,3.5,3.5,1.7,1.7,1.7,1.7,3.5,3.5,3.5,3.5
777,4.9,4.9,2.2,2.2,2.2,2.2,4.9,4.9,4.9,4.9
778,8.3,8.3,2.3,2.3,2.3,2.3,8.3,8.3,8.3,8.3
779,6.0,6.0,2.4,2.4,2.4,2.4,6.0,6.0,6.0,6.0
780,3.5,3.5,1.6,1.6,1.6,1.6,3.5,3.5,3.5,3.5
781,4.8,4.8,2.0,2.0,2.0,2.0,4.8,4.8,4.8,4.8
782,8.0,8.0,2.6,2.6,2.6,2.6,8.0,8.0,8.0,8.0
783,9.2,9.2,2.1,2.1,2.1,2.1,9.2,9.2,9.2,9.2
785,5.0,5.0,1.1,1.1,1.1,1.1,5.0,5.0,5.0,5.0
786,7.3,7.3,1.7,1.7,1.7,1.7,7.3,7.3,7.3,7.3
787,9.7,9.7,2.2,2.2,2.2,2.2,9.7,9.7,9.7,9.7
788,,12.1,2.3,2.3,2.3,2.3,,12.1,12.1,12.1
801,,,3.1,3.1,3.1,3.1,,,,24.8
802,,,3.9,3.9,3.9,3.9,,,,26.0
803,,,2.4,2.4,2.4,2.4,,,15.6,15.6
804,,13.5,2.2,2.2,2.2,2.2,,13.5,13.5,13.5
805,,11.7,2.5,2.5,2.5,2.5,,11.7,11.7,11.7
806,,10.3,2.3,2.3,2.3,2.3,,10.3,10.3,10.3
807,,13.1,2.4,2.4,2.4,2.4,,13.1,13.1,13.1
808,,,3.1,3.1,3.1,3.1,,,16.3,16.3
